7005 104000.000000 96100.000000 100767.109235
7015 104280.000000 96590.000000 101054.809970
7020 104780.000000 96330.000000 101480.851278
7027 104040.000000 95750.000000 100872.518040
7037 102920.000000 94950.000000 99850.086592
7072 103530.000000 96260.000000 100546.146688
7110 103610.000000 95240.000000 100532.917132
7117 104120.000000 95640.000000 100968.586886
7130 104250.000000 95580.000000 101241.011027
7139 102910.000000 94640.000000 99979.393834
7149 103560.000000 96010.000000 100619.961037
7168 103070.000000 96040.000000 100307.722104
7181 100290.000000 93580.000000 97643.021962
7190 102740.000000 95800.000000 99926.538509
7207 104110.000000 95290.000000 101224.946263
7222 104170.000000 95960.000000 101414.415405
7240 103050.000000 95710.000000 100388.305166
7255 102210.000000 95470.000000 99770.771927
7280 101540.000000 95100.000000 99056.105829
7299 101170.000000 94570.000000 98506.803621
7314 104060.000000 96840.000000 101511.322106
7335 102730.000000 95820.000000 100323.029090
7434 99230.000000 92950.000000 97011.725751
7460 103610.000000 93950.000000 97885.227103
7471 94100.000000 88550.000000 92154.611695
7481 101210.000000 95170.000000 98901.283106
7510 103690.000000 97000.000000 101212.995508
7535 100960.000000 94960.000000 98694.951612
7558 95510.000000 90030.000000 93462.530996
7577 103030.000000 97320.000000 100813.430037
7591 93540.000000 88160.000000 91596.624602
7607 103560.000000 97290.000000 101119.683546
7621 99840.000000 93670.000000 97539.677534
7627 99290.000000 93100.000000 96962.144124
7630 102440.000000 96210.000000 100016.351785
7643 103780.000000 98150.000000 101578.724201
7650 103440.000000 97740.000000 101212.039746
7661 102060.000000 96470.000000 99939.255166
7690 103610.000000 97650.000000 101200.154130
7747 103460.000000 97430.000000 101174.345381
7761 103770.000000 98330.000000 101463.465147
7790 103820.000000 97800.000000 101391.792729
61968 102170.000000 20990.000000 101286.352846
61970 102360.000000 41070.000000 101299.463808
61972 102840.000000 80640.000000 101477.978716
61976 109510.000000 11290.000000 101050.354582
61980 102700.000000 98550.000000 101486.055689
61996 104030.000000 97990.000000 101610.312891
61997 101940.000000 94180.000000 99102.077550
61998 103460.000000 94180.000000 99886.001709
67005 102130.000000 100040.000000 101244.667613
71805 104930.000000 96540.000000 101259.506690
78890 101810.000000 99720.000000 101177.323217
78894 101700.000000 99980.000000 101061.074591
78897 102080.000000 99770.000000 101428.756520
78922 103070.000000 21160.000000 100934.562742
78925 102000.000000 99870.000000 101380.846998
81401 101850.000000 100370.000000 101128.969655
81405 101780.000000 100410.000000 101126.813370
81408 101810.000000 100380.000000 101099.583465
81415 100690.000000 99250.000000 100016.899821
89642 102280.000000 93330.000000 98118.622397
